f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
thous,worry,alo,oc,reach,rich,together,he,line,represent
hour,hundred,val,sa,time,evening,fly,ask,smile,prove
for,unit,hav,ci,identify,some,seek,member,simple,I
buy,similar,whi,wi,participant,contain,way,rise,too,else
enter,always,sol,ri,who,fast,respond,should,various,minute
term,at,mis,ni,author,create,idea,particular,business,heavy
own,statement,her,he,our,other,long,either,common,morning
work,production,off,re,fine,claim,civil,keep,property,item
simil,position,lan,su,half,act,movie,although,those,too
race,protect,flo,en,talk,compare,buy,difference,rock,money
